actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
188.84799194335938,6.737237453460693
205.9004364013672,13.832881927490234
219.5424041748047,20.464862823486328
236.59483337402344,27.09418296813965
250.2367401123047,33.315704345703125
263.87872314453125,39.31781768798828
277.5206298828125,44.06260681152344
301.39404296875,55.65382766723633
304.80450439453125,64.00188446044922
301.39404296875,67.1377182006836
301.39404296875,70.05448150634766
301.39404296875,74.9274673461914
301.39404296875,76.95747375488281
297.9835205078125,78.49250793457031
297.9835205078125,79.9967041015625
294.57305908203125,82.16227722167969
263.87872314453125,83.02027130126953
0.0,81.8335952758789
0.0,49.568031311035156
0.0,37.265602111816406
0.0,26.293132781982422
0.0,6.338399887084961
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
193.2340545654297,6.940252780914307
268.26470947265625,16.278545379638672
295.54864501953125,25.100873947143555
322.83245849609375,37.408103942871094
346.70587158203125,46.76805877685547
394.4527282714844,52.79800796508789
404.6841735839844,61.85377883911133
408.0946960449219,70.5572738647461
418.3261413574219,83.48075103759766
438.7890319824219,90.11509704589844
442.1995544433594,100.21891021728516
452.4309997558594,105.41761016845703
459.2519226074219,109.99177551269531
472.8938903808594,118.45440673828125
469.4833679199219,121.49919128417969
466.0728454589844,124.07510375976562
0.0,127.93914031982422
0.0,97.81591796875
0.0,87.47531127929688
0.0,78.10051727294922
0.0,69.57769775390625
0.0,61.80638885498047
0.0,54.43191909790039
0.0,41.0943489074707
0.0,35.022151947021484
0.0,29.285518646240234
0.0,24.64276123046875
