actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.07375572621822357,-0.0063102636486291885
-0.08231135457754135,-0.006974174175411463
-0.08627808094024658,-0.007956845685839653
-0.0882614403963089,-0.008532038889825344
-0.09520316869020462,-0.009732013568282127
-0.09851530194282532,-0.010472492314875126
-0.10249559581279755,-0.010472492314875126
-0.11344131827354431,-0.013613221235573292
-0.11841660737991333,-0.014999751932919025
-0.13289155066013336,-0.018457645550370216
-0.14597854018211365,-0.02254628948867321
-0.15403196215629578,-0.02481713518500328
-0.15489612519741058,-0.02772672101855278
-0.16214215755462646,-0.0294312983751297
-0.16938813030719757,-0.03369082883000374
-0.17663399875164032,-0.035196561366319656
-0.19743956625461578,-0.0382724329829216
-0.20496012270450592,-0.039842575788497925
-0.21812087297439575,-0.047826919704675674
-0.22470109164714813,-0.05792710557579994
-0.22390331327915192,-0.06142266467213631
-0.22936350107192993,-0.06269733607769012
-0.24119369685649872,-0.06784416735172272
-0.24574369192123413,-0.072363942861557
-0.26237788796424866,-0.07536767423152924
-0.2671300768852234,-0.08192795515060425
-0.27093181014060974,-0.08459946513175964
-0.2756839096546173,-0.08730899542570114
-0.2794855535030365,-0.09006605297327042
-0.2832871675491333,-0.09255056828260422
-0.311274915933609,-0.09380973130464554
-0.3153965175151825,-0.10584727674722672
-0.3184877038002014,-0.1083006039261818
-0.3195180892944336,-0.11007130146026611
-0.26082804799079895,-0.10971624404191971
-0.26082804799079895,-0.0895591452717781
-0.26082804799079895,-0.0895591452717781
-0.26082804799079895,-0.0895591452717781
-0.24041633307933807,-0.08926931023597717
-0.24041633307933807,-0.08228220045566559
-0.2396358996629715,-0.08174878358840942
-0.30644071102142334,-0.08068713545799255
-0.3033873438835144,-0.08015892654657364
-0.1999959945678711,-0.10147883743047714
-0.19796237349510193,-0.10046745091676712
-0.19525088369846344,-0.0633513554930687
-0.19321726262569427,-0.06183267757296562
-0.18482241034507751,-0.060759205371141434
-0.18221034109592438,-0.057297635823488235
-0.17829221487045288,-0.054678674787282944
-0.17502710223197937,-0.0530938021838665
-0.14439891278743744,-0.05134347081184387
-0.14057038724422455,-0.04123511537909508
-0.13947650790214539,-0.039829377084970474
-0.13783571124076843,-0.03905448690056801
-0.14698652923107147,-0.04066750779747963
-0.14639148116111755,-0.040177538990974426
